BuildingType,PrimaryPropertyType,City,State,ZipCode,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofFloors,PropertyGFABuilding(s),Electricity(kWh)
NonResidential,Other,Seattle,WA,98122.0,3,CENTRAL,47.60462,-122.31549,1971,6,250981,2390094.5
SPS-District K-12,K-12 School,Seattle,WA,98117.0,6,NORTHWEST,47.68725,-122.35996,2002,3,62526,326608.6875
NonResidential,Other,Seattle,WA,98101.0,7,DOWNTOWN,47.61598,-122.33448,2004,11,230638,8983483.0
NonResidential,Small- and Mid-Sized Office,Seattle,WA,98108.0,2,GREATER DUWAMISH,47.536,-122.31768,2007,3,64015,778834.0
NonResidential,Retail Store,Seattle,WA,98125.0,5,NORTH,47.70759,-122.3255,1951,1,530039,4755137.5
NonResidential,Other,Seattle,WA,98125.0,5,NORTH,47.7066,-122.321,1964,3,54224,980312.8125
NonResidential,Retail Store,Seattle,WA,98125.0,5,NORTH,47.70619,-122.32586,1965,4,124342,2536231.25
NonResidential,Hospital,Seattle,WA,98105.0,4,NORTHEAST,47.66231,-122.28146,1953,10,879000,33892500.0
NonResidential,Other,Seattle,WA,98133.0,5,NORTHWEST,47.70956,-122.3345,1996,3,55442,544942.8125
SPS-District K-12,K-12 School,Seattle,WA,98117.0,6,BALLARD,47.67661,-122.37489,1999,2,242795,2303477.0
NonResidential,Self-Storage Facility,Seattle,WA,98122.0,3,EAST,47.61233,-122.3171,1910,5,84870,141452.2031
Campus,University,Seattle,WA,98103.0,5,NORTHWEST,47.69936,-122.33401,1970,2,582447,9803878.0
SPS-District K-12,K-12 School,Seattle,WA,98118.0,2,SOUTHEAST,47.54632,-122.28198,1952,2,173185,527763.0
SPS-District K-12,K-12 School,Seattle,WA,98106.0,1,DELRIDGE,47.54862,-122.36214,1963,1,145341,546590.625
NonResidential,Warehouse,Seattle,WA,98108.0,2,GREATER DUWAMISH,47.55152,-122.31869,1904,4,114297,267431.0
SPS-District K-12,K-12 School,Seattle,WA,98118.0,2,SOUTHEAST,47.52407,-122.26586,1960,2,184125,879209.3125
SPS-District K-12,K-12 School,Seattle,WA,98117.0,6,BALLARD,47.69675,-122.3776,1959,1,160270,0.0
NonResidential,Warehouse,Seattle,WA,98134.0,2,GREATER DUWAMISH,47.55901,-122.33328,1937,1,234144,385937.0
NonResidential,Retail Store,Seattle,WA,98126.0,1,DELRIDGE,47.52254,-122.36627,1966,1,64984,766027.8125
NonResidential,Retail Store,Seattle,WA,98126.0,1,DELRIDGE,47.52254,-122.36627,1965,1,67745,769080.3125
SPS-District K-12,K-12 School,Seattle,WA,98126.0,1,DELRIDGE,47.52915,-122.36511,2010,2,367884,2404753.75
SPS-District K-12,K-12 School,Seattle,WA,98126.0,1,DELRIDGE,47.51778,-122.37074,1958,1,46797,233647.0938
SPS-District K-12,K-12 School,Seattle,WA,98144.0,3,CENTRAL,47.59796,-122.30415,1963,3,136188,0.0
NonResidential,Other,Seattle,WA,98117.0,6,BALLARD,47.67767,-122.39631,1973,3,56000,247615.5938
SPS-District K-12,K-12 School,Seattle,WA,98118.0,2,SOUTHEAST,47.54174,-122.27691,2004,2,67371,423604.5938
NonResidential,Self-Storage Facility,Seattle,WA,98126.0,1,SOUTHWEST,47.54508,-122.37737,1969,2,52088,153506.7031
